id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,jumlah_produksi_sampah,satuan,tahun
1,32,JAWA BARAT,3271,KOTA BOGOR,593.0,TON,2016
2,32,JAWA BARAT,3271,KOTA BOGOR,496.0,TON,2017
3,32,JAWA BARAT,3271,KOTA BOGOR,492.0,TON,2018
4,32,JAWA BARAT,3271,KOTA BOGOR,507.0,TON,2019
5,32,JAWA BARAT,3271,KOTA BOGOR,504.0,TON,2020
6,32,JAWA BARAT,3271,KOTA BOGOR,565.0,TON,2021
7,32,JAWA BARAT,3271,KOTA BOGOR,536.4,TON,2022
8,32,JAWA BARAT,3271,KOTA BOGOR,508.87,TON,2023
9,32,JAWA BARAT,3271,KOTA BOGOR,501.40,TON,2024
